MatchNumber,MatchLineup,ScoreLine
1,Brazil-Croatia,3-1
2,Mexico-Cameroon,1-0
3,Spain-Netherlands,1-5
4,Chile-Australia,3-1
5,Colombia-Greece,3-0
6,Côte d'Ivoire-Japan,2-1
7,Uruguay-Costa Rica,1-3
8,England-Italy,1-2
9,Switzerland-Ecuador,2-1
10,France-Honduras,3-0
11,Argentina-Bosnia-Herzegovina,2-1
12,Iran-Nigeria,0-0
13,Germany-Portugal,4-0
14,Ghana-United States,1-2
15,Belgium-Algeria,2-1
16,Russia-South Korea,1-1
17,Brazil-Mexico,0-0
18,Cameroon-Croatia,0-4
19,Spain-Chile,0-2
20,Australia-Netherlands,2-3
21,Colombia-Côte d'Ivoire,2-1
22,Japan-Greece,0-0
23,Uruguay-England,2-1
24,Italy-Costa Rica,0-1
25,Switzerland-France,2-5
26,Honduras-Ecuador,1-2
27,Argentina-Iran,1-0
28,Nigeria-Bosnia-Herzegovina,1-0
29,Germany-Ghana,2-2
30,United States-Portugal,2-2
31,Belgium-Russia,1-0
32,South Korea-Algeria,2-4
33,Cameroon-Brazil,1-4
34,Croatia-Mexico,1-3
35,Australia-Spain,0-3
36,Netherlands-Chile,2-0
37,Japan-Colombia,1-4
38,Greece-Côte d'Ivoire,2-1
39,Italy-Uruguay,0-1
40,Costa Rica-England,0-0
41,Honduras-Switzerland,0-3
42,Ecuador-France,0-0
43,Nigeria-Argentina,2-3
44,Bosnia-Herzegovina-Iran,3-1
45,United States-Germany,0-1
46,Portugal-Ghana,2-1
47,South Korea-Belgium,0-1
48,Algeria-Russia,1-1
49,Brazil-Chile,3-2
50,Colombia-Uruguay,2-0
51,Netherlands-Mexico,2-1
52,Costa Rica-Greece,5-3
53,France-Nigeria,2-0
54,Germany-Algeria,0-0
55,Argentina-Switzerland,0-0
56,Belgium-United States,0-0
57,Brazil-Colombia,2-1
58,France-Germany,0-1
59,Netherlands-Costa Rica,4-3
60,Argentina-Belgium,1-0
61,Brazil-Germany,1-7
62,Netherlands-Argentina,2-4
63,Brazil-Netherlands,0-3
64,Germany-Argentina,0-0
