MatchNumber,GoalMinute,PlayerCountry,PlayerName
WC-2018-1,12,Russia,Gazinsky
WC-2018-1,43,Russia,Cheryshev
WC-2018-1,71,Russia,Dzyuba
WC-2018-1,90,Russia,Cheryshev
WC-2018-1,90,Russia,Golovin
WC-2018-2,89,Uruguay,Giménez
WC-2018-3,4,Portugal,Ronaldo
WC-2018-3,44,Portugal,Ronaldo
WC-2018-3,88,Portugal,Ronaldo
WC-2018-3,24,Spain,Costa
WC-2018-3,55,Spain,Costa
WC-2018-3,58,Spain,Nacho
WC-2018-4,90,Iran,Bouhaddouz
WC-2018-5,58,France,Griezmann
WC-2018-5,81,France,Behich
WC-2018-5,62,Australia,Jedinak
WC-2018-6,59,Denmark,Poulsen
WC-2018-7,19,Argentina,Agüero
WC-2018-7,23,Iceland,Finnbogason
WC-2018-8,32,Croatia,Etebo
WC-2018-8,71,Croatia,Modrić
WC-2018-9,20,Brazil,Coutinho
WC-2018-9,50,Switzerland,Zuber
WC-2018-10,56,Serbia,Kolarov
WC-2018-11,35,Mexico,Lozano
WC-2018-12,65,Sweden,Granqvist
WC-2018-13,47,Belgium,Mertens
WC-2018-13,69,Belgium,Lukaku
WC-2018-13,75,Belgium,Lukaku
WC-2018-14,35,Tunisia,Sassi
WC-2018-14,11,England,Kane
WC-2018-14,90,England,Kane
WC-2018-15,86,Poland,Krychowiak
WC-2018-15,37,Senegal,Cionek
WC-2018-15,60,Senegal,Niang
WC-2018-16,39,Colombia,J. Quintero
WC-2018-16,6,Japan,Kagawa
WC-2018-16,73,Japan,Osako
WC-2018-17,47,Russia,A. Fathi
WC-2018-17,59,Russia,Cheryshev
WC-2018-17,62,Russia,Dzyuba
WC-2018-17,73,Egypt,M. Salah
WC-2018-18,23,Uruguay,L. Suárez
WC-2018-19,4,Portugal,Ronaldo
WC-2018-20,54,Spain,Diego Costa
WC-2018-21,34,France,Mbappé
WC-2018-22,7,Denmark,Eriksen
WC-2018-22,38,Australia,Jedinak
WC-2018-23,53,Croatia,Rebić
WC-2018-23,80,Croatia,Modrić
WC-2018-23,90,Croatia,Rakitić
WC-2018-24,49,Nigeria,Musa
WC-2018-24,75,Nigeria,Musa
WC-2018-25,0,NA,NA
WC-2018-26,5,Serbia,Mitrović
WC-2018-26,52,Switzerland,Xhaka
WC-2018-26,90,Switzerland,Shaqiri
WC-2018-27,48,Germany,Reus
WC-2018-27,90,Germany,Kroos
WC-2018-27,32,Sweden,Toivonen
WC-2018-28,90,South Korea,Son Heung-min
WC-2018-28,26,Mexico,Carlos V.
WC-2018-28,66,Mexico,J. Hernández
WC-2018-29,6,Belgium,E. Hazard
WC-2018-29,16,Belgium,R. Lukaku
WC-2018-29,45,Belgium,R. Lukaku
WC-2018-29,51,Belgium,E. Hazard
WC-2018-29,90,Belgium,Batshuayi
WC-2018-29,18,Tunisia,Bronn
WC-2018-29,90,Tunisia,Khazri
WC-2018-30,8,England,Stones
WC-2018-30,22,England,Kane
WC-2018-30,36,England,Lingard
