,Country,Drawn,GoalsAgainst,Group,Losses,Played,Points,PositionGroup,Won
0,WC-2018-URU,0,0,Group A,0,3,9,1,3
1,WC-2018-RUS,0,4,Group A,1,3,6,2,2
2,WC-2018-KSA,0,7,Group A,2,3,3,3,1
3,WC-2018-EGY,0,6,Group A,3,3,0,4,0
4,WC-2018-ESP,2,5,Group B,0,3,5,1,1
5,WC-2018-POR,2,4,Group B,0,3,5,2,1
6,WC-2018-IRN,1,2,Group B,1,3,4,3,1
7,WC-2018-MAR,1,4,Group B,2,3,1,4,0
8,WC-2018-FRA,1,1,Group C,0,3,7,1,2
9,WC-2018-DEN,2,1,Group C,0,3,5,2,1
10,WC-2018-PER,0,2,Group C,2,3,3,3,1
11,WC-2018-AUS,1,5,Group C,2,3,1,4,0
12,WC-2018-CRO,0,1,Group D,0,3,9,1,3
13,WC-2018-ARG,1,5,Group D,1,3,4,2,1
14,WC-2018-NGA,0,4,Group D,2,3,3,3,1
15,WC-2018-ISL,1,5,Group D,2,3,1,4,0
16,WC-2018-BRA,1,1,Group E,0,3,7,1,2
17,WC-2018-SUI,2,4,Group E,0,3,5,2,1
18,WC-2018-SRB,0,4,Group E,2,3,3,3,1
19,WC-2018-CRC,1,5,Group E,2,3,1,4,0
20,WC-2018-SWE,0,2,Group F,1,3,6,1,2
21,WC-2018-MEX,0,4,Group F,1,3,6,2,2
22,WC-2018-KOR,0,3,Group F,2,3,3,3,1
23,WC-2018-GER,0,4,Group F,2,3,3,4,1
24,WC-2018-BEL,0,2,Group G,0,3,9,1,3
25,WC-2018-ENG,0,3,Group G,1,3,6,2,2
26,WC-2018-TUN,0,8,Group G,2,3,3,3,1
27,WC-2018-PAN,0,11,Group G,3,3,0,4,0
28,WC-2018-COL,0,2,Group H,1,3,6,1,2
29,WC-2018-JPN,1,4,Group H,1,3,4,2,1
30,WC-2018-SEN,1,4,Group H,1,3,4,3,1
31,WC-2018-POL,0,5,Group H,2,3,3,4,1
