,AssoCode,Code,Continent,Country
0,CAF,WC-2018-EGY,Africa,Egypt
1,CAF,WC-2018-MAR,Africa,Morocco
2,CAF,WC-2018-TUN,Africa,Tunisia
3,CAF,WC-2018-SEN,Africa,Senegal
4,CAF,WC-2018-NGA,Africa,Nigeria
5,AFC,WC-2018-JPN,Asia,Japan
6,AFC,WC-2018-KOR,Asia,South Korea
7,CONCACAF,WC-2018-CRC,Central America,Costa Rica
8,CONCACAF,WC-2018-PAN,Central America,Panama
9,UEFA,WC-2018-BEL,Europe,Belgium
10,UEFA,WC-2018-GER,Europe,Germany
11,UEFA,WC-2018-ESP,Europe,Spain
12,UEFA,WC-2018-FRA,Europe,France
13,UEFA,WC-2018-POR,Europe,Portugal
14,UEFA,WC-2018-DEN,Europe,Denmark
15,UEFA,WC-2018-POL,Europe,Poland
16,UEFA,WC-2018-SWE,Europe,Sweden
17,UEFA,WC-2018-SUI,Europe,Switzerland
18,UEFA,WC-2018-CRO,Europe,Croatia
19,UEFA,WC-2018-SRB,Europe,Serbia
20,UEFA,WC-2018-RUS,Europe,Russia
21,UEFA,WC-2018-ISL,Europe,Iceland
22,UEFA,WC-2018-ENG,Europe,England
23,AFC,WC-2018-IRN,Middle East,Iran
24,AFC,WC-2018-KSA,Middle East,Saudi Arabia
25,CONCACAF,WC-2018-MEX,North America,Mexico
26,AFC,WC-2018-AUS,Pacific,Australia
27,CONMEBOL,WC-2018-ARG,South America,Argentina
28,CONMEBOL,WC-2018-BRA,South America,Brazil
29,CONMEBOL,WC-2018-URU,South America,Uruguay
30,CONMEBOL,WC-2018-COL,South America,Colombia
31,CONMEBOL,WC-2018-PER,South America,Peru
